read_date,bl_meter1,bl_ahd1,bl_meter2,bl_ahd2,meter_no3,sl_read1,meter_no4,rf_read1
2007-10-28,GW967138.1.1,280.416,GW967138.2.2,278.872,419051,0.14,054151-2,5.0
2007-10-29,GW967138.1.1,280.429,GW967138.2.2,278.881,419051,0.14,054151-2,20.0
2007-10-30,GW967138.1.1,280.417,GW967138.2.2,278.869,419051,0.14,054151-2,2.4
2007-10-31,GW967138.1.1,280.408,GW967138.2.2,278.861,419051,0.14,054151-2,0.0
2007-11-01,GW967138.1.1,280.406,GW967138.2.2,278.861,419051,0.14,054151-2,0.0
2007-11-02,GW967138.1.1,280.404,GW967138.2.2,278.864,419051,0.14,054151-2,1.0
2007-11-03,GW967138.1.1,280.404,GW967138.2.2,278.866,419051,0.14,054151-2,0.6
2007-11-04,GW967138.1.1,280.399,GW967138.2.2,278.861,419051,0.14,054151-2,4.4
2007-11-05,GW967138.1.1,280.395,GW967138.2.2,278.85,419051,0.14,054151-2,0.0
2007-11-06,GW967138.1.1,280.394,GW967138.2.2,278.841,419051,0.14,054151-2,0.0
2007-11-07,GW967138.1.1,280.399,GW967138.2.2,278.845,419051,0.14,054151-2,22.0
2007-11-08,GW967138.1.1,280.398,GW967138.2.2,278.841,419051,0.14,054151-2,3.0
2007-11-09,GW967138.1.1,280.396,GW967138.2.2,278.84,419051,0.14,054151-2,3.4
2007-11-10,GW967138.1.1,280.394,GW967138.2.2,278.837,419051,0.14,054151-2,0.0
2007-11-11,GW967138.1.1,280.392,GW967138.2.2,278.826,419051,0.14,054151-2,0.0
2007-11-12,GW967138.1.1,280.388,GW967138.2.2,278.822,419051,0.14,054151-2,0.0
2007-11-13,GW967138.1.1,280.387,GW967138.2.2,278.821,419051,0.14,054151-2,0.0
2007-11-14,GW967138.1.1,280.384,GW967138.2.2,278.822,419051,0.14,054151-2,0.0
2007-11-15,GW967138.1.1,280.382,GW967138.2.2,278.817,419051,0.14,054151-2,0.0
2007-11-16,GW967138.1.1,280.38,GW967138.2.2,278.815,419051,0.14,054151-2,0.0
2007-11-17,GW967138.1.1,280.378,GW967138.2.2,278.814,419051,0.14,054151-2,0.0
2007-11-18,GW967138.1.1,280.376,GW967138.2.2,278.807,419051,0.14,054151-2,0.0
2007-11-19,GW967138.1.1,280.371,GW967138.2.2,278.802,419051,0.14,054151-2,0.0
2007-11-20,GW967138.1.1,280.371,GW967138.2.2,278.802,419051,0.14,054151-2,3.0
2007-11-21,GW967138.1.1,280.368,GW967138.2.2,278.804,419051,0.14,054151-2,3.0
2007-11-22,GW967138.1.1,280.383,GW967138.2.2,278.803,419051,0.14,054151-2,5.0
2007-11-23,GW967138.1.1,280.41,GW967138.2.2,278.802,419051,0.14,054151-2,0.0
2007-11-24,GW967138.1.1,280.438,GW967138.2.2,278.802,419051,0.14,054151-2,0.0
2007-11-25,GW967138.1.1,280.465,GW967138.2.2,278.801,419051,0.14,054151-2,0.0
2007-11-26,GW967138.1.1,280.493,GW967138.2.2,278.8,419051,0.14,054151-2,0.0
2007-11-27,GW967138.1.1,280.52,GW967138.2.2,278.8,419051,0.14,054151-2,0.0
2007-11-28,GW967138.1.1,280.548,GW967138.2.2,278.799,419051,0.14,054151-2,0.0
2007-11-29,GW967138.1.1,280.576,GW967138.2.2,278.799,419051,0.14,054151-2,0.0
2007-11-30,GW967138.1.1,280.603,GW967138.2.2,278.798,419051,0.14,054151-2,2.4
2007-12-01,GW967138.1.1,280.631,GW967138.2.2,278.798,419051,0.14,054151-2,25.2
2007-12-02,GW967138.1.1,280.658,GW967138.2.2,278.797,419051,0.14,054151-2,20.2
2007-12-03,GW967138.1.1,280.686,GW967138.2.2,278.796,419051,0.14,054151-2,8.0
2007-12-04,GW967138.1.1,280.713,GW967138.2.2,278.796,419051,0.14,054151-2,26.6
2007-12-05,GW967138.1.1,280.741,GW967138.2.2,278.795,419051,0.14,054151-2,3.2
2007-12-06,GW967138.1.1,280.768,GW967138.2.2,278.795,419051,0.14,054151-2,2.4
2007-12-07,GW967138.1.1,280.796,GW967138.2.2,278.794,419051,0.14,054151-2,5.2
2007-12-08,GW967138.1.1,280.824,GW967138.2.2,278.793,419051,0.14,054151-2,0.0
2007-12-09,GW967138.1.1,280.851,GW967138.2.2,278.793,419051,0.14,054151-2,0.2
2007-12-10,GW967138.1.1,280.879,GW967138.2.2,278.792,419051,0.14,054151-2,4.0
2007-12-11,GW967138.1.1,280.907,GW967138.2.2,278.792,419051,0.14,054151-2,0.0
2007-12-12,GW967138.1.1,280.934,GW967138.2.2,278.791,419051,0.14,054151-2,0.0
2007-12-13,GW967138.1.1,280.962,GW967138.2.2,278.791,419051,0.429,054151-2,2.4
2007-12-14,GW967138.1.1,280.989,GW967138.2.2,278.79,419051,0.161,054151-2,0.0
2007-12-15,GW967138.1.1,281.017,GW967138.2.2,278.789,419051,0.14,054151-2,0.0
2007-12-16,GW967138.1.1,281.045,GW967138.2.2,278.789,419051,0.14,054151-2,3.8
2007-12-17,GW967138.1.1,281.072,GW967138.2.2,278.788,419051,0.14,054151-2,13.0
2007-12-18,GW967138.1.1,281.024,GW967138.2.2,278.786,419051,0.14,054151-2,0.0
2007-12-19,GW967138.1.1,280.909,GW967138.2.2,278.777,419051,0.14,054151-2,2.0
2007-12-20,GW967138.1.1,280.829,GW967138.2.2,278.775,419051,0.14,054151-2,0.0
2007-12-21,GW967138.1.1,280.764,GW967138.2.2,278.781,419051,0.14,054151-2,2.0
2007-12-22,GW967138.1.1,280.723,GW967138.2.2,278.795,419051,0.14,054151-2,1.4
2007-12-23,GW967138.1.1,280.703,GW967138.2.2,278.791,419051,0.14,054151-2,49.6
2007-12-24,GW967138.1.1,280.669,GW967138.2.2,278.783,419051,0.14,054151-2,0.0
2007-12-25,GW967138.1.1,280.635,GW967138.2.2,278.765,419051,0.14,054151-2,0.0
2007-12-26,GW967138.1.1,280.608,GW967138.2.2,278.754,419051,0.14,054151-2,0.0
2007-12-27,GW967138.1.1,280.585,GW967138.2.2,278.757,419051,0.14,054151-2,1.8
2007-12-28,GW967138.1.1,280.563,GW967138.2.2,278.759,419051,0.14,054151-2,1.8
2007-12-29,GW967138.1.1,280.545,GW967138.2.2,278.754,419051,0.14,054151-2,0.0
2007-12-30,GW967138.1.1,280.528,GW967138.2.2,278.75,419051,0.14,054151-2,0.0
2007-12-31,GW967138.1.1,280.509,GW967138.2.2,278.745,419051,0.14,054151-2,0.0
2008-01-01,GW967138.1.1,280.494,GW967138.2.2,278.743,419051,0.14,054151-2,0.0
2008-01-02,GW967138.1.1,280.48,GW967138.2.2,278.742,419051,0.14,054151-2,0.0
2008-01-03,GW967138.1.1,280.467,GW967138.2.2,278.737,419051,0.14,054151-2,0.0
2008-01-04,GW967138.1.1,280.454,GW967138.2.2,278.734,419051,0.14,054151-2,0.0
2008-01-05,GW967138.1.1,280.443,GW967138.2.2,278.74,419051,0.14,054151-2,0.0
2008-01-06,GW967138.1.1,280.433,GW967138.2.2,278.749,419051,0.14,054151-2,30.8
2008-01-07,GW967138.1.1,280.425,GW967138.2.2,278.742,419051,0.14,054151-2,17.0
2008-01-08,GW967138.1.1,280.418,GW967138.2.2,278.731,419051,0.14,054151-2,0.0
2008-01-09,GW967138.1.1,280.409,GW967138.2.2,278.722,419051,0.14,054151-2,0.0
2008-01-10,GW967138.1.1,280.4,GW967138.2.2,278.715,419051,0.14,054151-2,0.0
2008-01-11,GW967138.1.1,280.39,GW967138.2.2,278.717,419051,0.14,054151-2,0.0
2008-01-12,GW967138.1.1,280.382,GW967138.2.2,278.72,419051,0.14,054151-2,0.0
2008-01-13,GW967138.1.1,280.376,GW967138.2.2,278.721,419051,0.14,054151-2,0.0
2008-01-14,GW967138.1.1,280.365,GW967138.2.2,278.708,419051,0.14,054151-2,3.0
2008-01-15,GW967138.1.1,280.358,GW967138.2.2,278.7,419051,0.14,054151-2,0.0
2008-01-16,GW967138.1.1,280.351,GW967138.2.2,278.703,419051,0.14,054151-2,0.2
2008-01-17,GW967138.1.1,280.35,GW967138.2.2,278.718,419051,0.14,054151-2,28.8
2008-01-18,GW967138.1.1,280.352,GW967138.2.2,278.722,419051,0.14,054151-2,9.6
2008-01-19,GW967138.1.1,280.355,GW967138.2.2,278.728,419051,0.14,054151-2,0.4
2008-01-20,GW967138.1.1,280.432,GW967138.2.2,278.736,419051,0.14,054151-2,7.8
2008-01-21,GW967138.1.1,280.435,GW967138.2.2,278.731,419051,0.14,054151-2,3.2
2008-01-22,GW967138.1.1,280.404,GW967138.2.2,278.714,419051,0.14,054151-2,0.0
2008-01-23,GW967138.1.1,280.383,GW967138.2.2,278.699,419051,0.14,054151-2,0.0
2008-01-24,GW967138.1.1,280.367,GW967138.2.2,278.699,419051,0.14,054151-2,0.0
2008-01-25,GW967138.1.1,280.353,GW967138.2.2,278.696,419051,0.14,054151-2,0.0
2008-01-26,GW967138.1.1,280.346,GW967138.2.2,278.699,419051,0.14,054151-2,1.6
2008-01-27,GW967138.1.1,280.339,GW967138.2.2,278.695,419051,0.14,054151-2,0.0
2008-01-28,GW967138.1.1,280.333,GW967138.2.2,278.685,419051,0.14,054151-2,0.0
2008-01-29,GW967138.1.1,280.329,GW967138.2.2,278.678,419051,0.14,054151-2,0.0
2008-01-30,GW967138.1.1,280.324,GW967138.2.2,278.671,419051,0.14,054151-2,0.0
2008-01-31,GW967138.1.1,280.32,GW967138.2.2,278.669,419051,0.14,054151-2,0.0
2008-02-01,GW967138.1.1,280.344,GW967138.2.2,278.675,419051,0.14,054151-2,3.0
2008-02-02,GW967138.1.1,280.335,GW967138.2.2,278.674,419051,0.14,054151-2,46.6
2008-02-03,GW967138.1.1,280.319,GW967138.2.2,278.673,419051,0.14,054151-2,0.0
2008-02-04,GW967138.1.1,280.313,GW967138.2.2,278.672,419051,0.14,054151-2,6.0
2008-02-05,GW967138.1.1,280.338,GW967138.2.2,278.688,419051,0.14,054151-2,15.4
2008-02-06,GW967138.1.1,282.069,GW967138.2.2,278.751,419051,0.297,054151-2,7.8
2008-02-07,GW967138.1.1,283.293,GW967138.2.2,278.767,419051,0.69,054151-2,9.0
2008-02-08,GW967138.1.1,283.603,GW967138.2.2,278.766,419051,0.621,054151-2,0.0
2008-02-09,GW967138.1.1,283.604,GW967138.2.2,278.757,419051,0.307,054151-2,0.0
2008-02-10,GW967138.1.1,283.353,GW967138.2.2,278.738,419051,0.196,054151-2,0.0
2008-02-11,GW967138.1.1,283.068,GW967138.2.2,278.734,419051,0.186,054151-2,0.0
2008-02-12,GW967138.1.1,282.839,GW967138.2.2,278.752,419051,0.186,054151-2,16.0
2008-02-13,GW967138.1.1,283.238,GW967138.2.2,278.779,419051,0.186,054151-2,7.2
2008-02-14,GW967138.1.1,283.697,GW967138.2.2,278.775,419051,0.184,054151-2,0.0
2008-02-15,GW967138.1.1,283.563,GW967138.2.2,278.765,419051,0.183,054151-2,0.0
2008-02-16,GW967138.1.1,283.334,GW967138.2.2,278.755,419051,0.182,054151-2,0.0
2008-02-17,GW967138.1.1,283.155,GW967138.2.2,278.753,419051,0.182,054151-2,0.0
2008-02-18,GW967138.1.1,283.008,GW967138.2.2,278.756,419051,0.182,054151-2,0.0
2008-02-19,GW967138.1.1,282.887,GW967138.2.2,278.765,419051,0.18,054151-2,0.2
2008-02-20,GW967138.1.1,282.781,GW967138.2.2,278.773,419051,0.179,054151-2,15.6
2008-02-21,GW967138.1.1,282.677,GW967138.2.2,278.781,419051,0.178,054151-2,0.2
2008-02-22,GW967138.1.1,282.585,GW967138.2.2,278.79,419051,0.176,054151-2,0.0
2008-02-23,GW967138.1.1,282.495,GW967138.2.2,278.792,419051,0.174,054151-2,0.0
2008-02-24,GW967138.1.1,282.41,GW967138.2.2,278.792,419051,0.172,054151-2,0.0
2008-02-25,GW967138.1.1,282.327,GW967138.2.2,278.79,419051,0.169,054151-2,0.0
2008-02-26,GW967138.1.1,282.251,GW967138.2.2,278.798,419051,0.163,054151-2,0.0
2008-02-27,GW967138.1.1,282.187,GW967138.2.2,278.82,419051,0.157,054151-2,0.2
2008-02-28,GW967138.1.1,282.13,GW967138.2.2,278.841,419051,0.151,054151-2,0.0
2008-02-29,GW967138.1.1,282.076,GW967138.2.2,278.853,419051,0.172,054151-2,26.8
2008-03-01,GW967138.1.1,282.019,GW967138.2.2,278.846,419051,0.17,054151-2,0.0
2008-03-02,GW967138.1.1,281.961,GW967138.2.2,278.84,419051,0.163,054151-2,0.0
2008-03-03,GW967138.1.1,281.91,GW967138.2.2,278.845,419051,0.152,054151-2,0.0
2008-03-04,GW967138.1.1,281.864,GW967138.2.2,278.85,419051,0.143,054151-2,0.0
2008-03-05,GW967138.1.1,281.816,GW967138.2.2,278.851,419051,0.134,054151-2,0.0
2008-03-06,GW967138.1.1,281.776,GW967138.2.2,278.853,419051,0.126,054151-2,0.0
2008-03-07,GW967138.1.1,281.738,GW967138.2.2,278.861,419051,0.117,054151-2,0.0
2008-03-08,GW967138.1.1,281.698,GW967138.2.2,278.869,419051,0.108,054151-2,0.0
2008-03-09,GW967138.1.1,281.657,GW967138.2.2,278.866,419051,0.098,054151-2,0.0
2008-03-10,GW967138.1.1,281.623,GW967138.2.2,278.869,419051,0.085,054151-2,0.0
2008-03-11,GW967138.1.1,281.591,GW967138.2.2,278.875,419051,0.075,054151-2,0.0
2008-03-12,GW967138.1.1,281.559,GW967138.2.2,278.878,419051,0.075,054151-2,0.0
2008-03-13,GW967138.1.1,281.531,GW967138.2.2,278.883,419051,0.075,054151-2,0.0
2008-03-14,GW967138.1.1,281.503,GW967138.2.2,278.885,419051,0.075,054151-2,0.0
2008-03-15,GW967138.1.1,281.478,GW967138.2.2,278.89,419051,0.075,054151-2,0.0
2008-03-16,GW967138.1.1,281.453,GW967138.2.2,278.891,419051,0.075,054151-2,0.0
2008-03-17,GW967138.1.1,281.43,GW967138.2.2,278.894,419051,0.075,054151-2,0.0
2008-03-18,GW967138.1.1,281.409,GW967138.2.2,278.898,419051,0.075,054151-2,0.0
2008-03-19,GW967138.1.1,281.39,GW967138.2.2,278.907,419051,0.075,054151-2,0.0
2008-03-20,GW967138.1.1,281.373,GW967138.2.2,278.917,419051,0.075,054151-2,0.0
2008-03-21,GW967138.1.1,281.354,GW967138.2.2,278.918,419051,0.075,054151-2,0.0
2008-03-22,GW967138.1.1,281.335,GW967138.2.2,278.92,419051,0.075,054151-2,0.0
2008-03-23,GW967138.1.1,281.319,GW967138.2.2,278.922,419051,0.075,054151-2,3.2
2008-03-24,GW967138.1.1,281.304,GW967138.2.2,278.928,419051,0.075,054151-2,0.0
2008-03-25,GW967138.1.1,281.291,GW967138.2.2,278.94,419051,0.075,054151-2,0.0
2008-03-26,GW967138.1.1,281.278,GW967138.2.2,278.944,419051,0.075,054151-2,13.6
2008-03-27,GW967138.1.1,281.26,GW967138.2.2,278.941,419051,0.075,054151-2,1.8
2008-03-28,GW967138.1.1,281.244,GW967138.2.2,278.939,419051,0.075,054151-2,1.8
2008-03-29,GW967138.1.1,281.229,GW967138.2.2,278.944,419051,0.075,054151-2,0.0
2008-03-30,GW967138.1.1,281.213,GW967138.2.2,278.947,419051,0.075,054151-2,0.0
2008-03-31,GW967138.1.1,281.197,GW967138.2.2,278.947,419051,0.075,054151-2,0.0
2008-04-01,GW967138.1.1,281.183,GW967138.2.2,278.943,419051,0.075,054151-2,0.0
2008-04-02,GW967138.1.1,281.172,GW967138.2.2,278.952,419051,0.075,054151-2,0.0
2008-04-03,GW967138.1.1,281.161,GW967138.2.2,278.963,419051,0.075,054151-2,0.0
2008-04-04,GW967138.1.1,281.144,GW967138.2.2,278.955,419051,0.075,054151-2,0.0
2008-04-05,GW967138.1.1,281.132,GW967138.2.2,278.956,419051,0.075,054151-2,0.0
2008-04-06,GW967138.1.1,281.122,GW967138.2.2,278.956,419051,0.075,054151-2,0.0
2008-04-07,GW967138.1.1,281.11,GW967138.2.2,278.962,419051,0.075,054151-2,0.0
2008-04-08,GW967138.1.1,281.098,GW967138.2.2,278.96,419051,0.075,054151-2,0.0
2008-04-09,GW967138.1.1,281.087,GW967138.2.2,278.969,419051,0.075,054151-2,0.0
2008-04-10,GW967138.1.1,281.078,GW967138.2.2,278.972,419051,0.075,054151-2,0.0
2008-04-11,GW967138.1.1,281.068,GW967138.2.2,278.978,419051,0.075,054151-2,0.0
2008-04-12,GW967138.1.1,281.058,GW967138.2.2,278.983,419051,0.075,054151-2,0.0
2008-04-13,GW967138.1.1,281.05,GW967138.2.2,278.987,419051,0.075,054151-2,0.0
2008-04-14,GW967138.1.1,281.039,GW967138.2.2,278.985,419051,0.075,054151-2,0.0
2008-04-15,GW967138.1.1,281.028,GW967138.2.2,278.98,419051,0.075,054151-2,0.0
2008-04-16,GW967138.1.1,281.016,GW967138.2.2,278.978,419051,0.075,054151-2,0.0
2008-04-17,GW967138.1.1,281.01,GW967138.2.2,278.982,419051,0.075,054151-2,0.0
2008-04-18,GW967138.1.1,281.002,GW967138.2.2,278.988,419051,0.075,054151-2,0.0
2008-04-19,GW967138.1.1,280.992,GW967138.2.2,278.989,419051,0.075,054151-2,0.0
2008-04-20,GW967138.1.1,280.984,GW967138.2.2,278.99,419051,0.075,054151-2,1.0
2008-04-21,GW967138.1.1,280.979,GW967138.2.2,278.999,419051,0.075,054151-2,1.6
2008-04-22,GW967138.1.1,280.971,GW967138.2.2,279.005,419051,0.075,054151-2,5.0
2008-04-23,GW967138.1.1,280.966,GW967138.2.2,279.01,419051,0.075,054151-2,0.8
2008-04-24,GW967138.1.1,280.959,GW967138.2.2,279.016,419051,0.075,054151-2,2.2
2008-04-25,GW967138.1.1,280.955,GW967138.2.2,279.024,419051,0.075,054151-2,3.4
2008-04-26,GW967138.1.1,280.953,GW967138.2.2,279.033,419051,0.075,054151-2,7.4
2008-04-27,GW967138.1.1,280.945,GW967138.2.2,279.044,419051,0.075,054151-2,0.2
2008-04-28,GW967138.1.1,280.929,GW967138.2.2,279.03,419051,0.075,054151-2,1.4
2008-04-29,GW967138.1.1,280.919,GW967138.2.2,279.019,419051,0.075,054151-2,0.2
2008-04-30,GW967138.1.1,280.911,GW967138.2.2,279.02,419051,0.075,054151-2,0.0
2008-05-01,GW967138.1.1,280.905,GW967138.2.2,279.024,419051,0.075,054151-2,0.0
2008-05-02,GW967138.1.1,280.898,GW967138.2.2,279.03,419051,0.075,054151-2,0.0
2008-05-03,GW967138.1.1,280.891,GW967138.2.2,279.029,419051,0.075,054151-2,0.0
2008-05-04,GW967138.1.1,280.885,GW967138.2.2,279.032,419051,0.075,054151-2,0.0
2008-05-05,GW967138.1.1,280.879,GW967138.2.2,279.035,419051,0.075,054151-2,0.0
2008-05-06,GW967138.1.1,280.875,GW967138.2.2,279.04,419051,0.075,054151-2,0.0
2008-05-07,GW967138.1.1,280.868,GW967138.2.2,279.042,419051,0.075,054151-2,0.0
2008-05-08,GW967138.1.1,280.86,GW967138.2.2,279.037,419051,0.075,054151-2,0.0
2008-05-09,GW967138.1.1,280.853,GW967138.2.2,279.038,419051,0.075,054151-2,0.0
2008-05-10,GW967138.1.1,280.846,GW967138.2.2,279.038,419051,0.075,054151-2,0.0
2008-05-11,GW967138.1.1,280.838,GW967138.2.2,279.04,419051,0.075,054151-2,0.0
2008-05-12,GW967138.1.1,280.833,GW967138.2.2,279.04,419051,0.075,054151-2,0.0
2008-05-13,GW967138.1.1,280.828,GW967138.2.2,279.04,419051,0.075,054151-2,0.0
2008-05-14,GW967138.1.1,280.82,GW967138.2.2,279.039,419051,0.075,054151-2,0.0
2008-05-15,GW967138.1.1,280.817,GW967138.2.2,279.043,419051,0.075,054151-2,0.8
2008-05-16,GW967138.1.1,280.815,GW967138.2.2,279.053,419051,0.075,054151-2,9.2
2008-05-17,GW967138.1.1,280.809,GW967138.2.2,279.064,419051,0.075,054151-2,0.0
2008-05-18,GW967138.1.1,280.803,GW967138.2.2,279.061,419051,0.075,054151-2,5.0
2008-05-19,GW967138.1.1,280.798,GW967138.2.2,279.053,419051,0.075,054151-2,5.0
2008-05-20,GW967138.1.1,280.793,GW967138.2.2,279.052,419051,0.075,054151-2,0.0
2008-05-21,GW967138.1.1,280.789,GW967138.2.2,279.052,419051,0.075,054151-2,0.0
2008-05-22,GW967138.1.1,280.781,GW967138.2.2,279.047,419051,0.075,054151-2,0.0
2008-05-23,GW967138.1.1,280.777,GW967138.2.2,279.049,419051,0.075,054151-2,0.0
2008-05-24,GW967138.1.1,280.769,GW967138.2.2,279.05,419051,0.075,054151-2,0.0
2008-05-25,GW967138.1.1,280.765,GW967138.2.2,279.048,419051,0.075,054151-2,0.0
2008-05-26,GW967138.1.1,280.756,GW967138.2.2,279.045,419051,0.075,054151-2,0.0
2008-05-27,GW967138.1.1,280.75,GW967138.2.2,279.049,419051,0.075,054151-2,0.8
2008-05-28,GW967138.1.1,280.745,GW967138.2.2,279.046,419051,0.075,054151-2,2.2
2008-05-29,GW967138.1.1,280.738,GW967138.2.2,279.045,419051,0.075,054151-2,0.2
2008-05-30,GW967138.1.1,280.733,GW967138.2.2,279.046,419051,0.075,054151-2,0.0
2008-05-31,GW967138.1.1,280.727,GW967138.2.2,279.047,419051,0.075,054151-2,0.0
2008-06-01,GW967138.1.1,280.721,GW967138.2.2,279.051,419051,0.075,054151-2,0.0
2008-06-02,GW967138.1.1,280.716,GW967138.2.2,279.056,419051,0.075,054151-2,0.0
2008-06-03,GW967138.1.1,280.718,GW967138.2.2,279.079,419051,0.075,054151-2,43.8
2008-06-04,GW967138.1.1,280.717,GW967138.2.2,279.083,419051,0.075,054151-2,1.2
2008-06-05,GW967138.1.1,280.714,GW967138.2.2,279.083,419051,0.075,054151-2,0.2
2008-06-06,GW967138.1.1,280.71,GW967138.2.2,279.08,419051,0.075,054151-2,0.2
2008-06-07,GW967138.1.1,280.705,GW967138.2.2,279.073,419051,0.075,054151-2,0.0
2008-06-08,GW967138.1.1,280.699,GW967138.2.2,279.066,419051,0.075,054151-2,0.4
2008-06-09,GW967138.1.1,280.695,GW967138.2.2,279.066,419051,0.075,054151-2,0.0
2008-06-10,GW967138.1.1,280.692,GW967138.2.2,279.067,419051,0.075,054151-2,0.2
2008-06-11,GW967138.1.1,280.688,GW967138.2.2,279.067,419051,0.075,054151-2,0.0
2008-06-12,GW967138.1.1,280.685,GW967138.2.2,279.072,419051,0.075,054151-2,0.2
2008-06-13,GW967138.1.1,280.68,GW967138.2.2,279.085,419051,0.075,054151-2,20.8
2008-06-14,GW967138.1.1,280.677,GW967138.2.2,279.08,419051,0.075,054151-2,4.0
